gene,P15_L3_806506.R2.clean_H,P11-N_L2_807507.R2.clean_H,P13_L3_804504.R2.clean_H,P11-2_802502.R2.clean_L,P11-1_801501.R2.clean_L,P2-N_L3_808508.R2.clean_M,P11-2_802502.R2.clean_H,P2-N_L3_808508.R2.clean_L,P11-N_L2_807507.R2.clean_L,P15_L3_806506.R2.clean_L,P11-2_802502.R2.clean_M,P13_L3_804504.R2.clean_L,P12_L3_803503.R2.clean_L,P2-N_L3_808508.R2.clean_H,P11-1_801501.R2.clean_H,P12_L3_803503.R2.clean_H,P14_L3_805505.R2.clean_L,P13_L3_804504.R2.clean_M,P11-N_L2_807507.R2.clean_M,P14_L3_805505.R2.clean_H,P12_L3_803503.R2.clean_M,P11-1_801501.R2.clean_M
0610007P14Rik,97,125,3279,323,230,350,1946,446,106,617,581,3940,669,117,394,232,715,3490,73,2258,322,231
0610009B22Rik,448,63,2040,560,266,62,1593,410,85,494,859,2335,163,170,270,256,211,2897,48,1413,291,225
0610009E02Rik,0,0,28,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
0610009L18Rik,0,2,297,0,46,82,121,1,0,0,184,1,0,93,5,0,63,1,21,248,0,0
0610009O20Rik,62,80,1340,666,103,7,732,284,71,105,256,2126,112,172,88,246,414,1899,16,475,121,176
0610010F05Rik,172,39,1566,45,87,42,45,73,0,331,194,542,20,32,69,130,36,1227,0,730,123,54
0610010K14Rik,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,8,5,0
0610011F06Rik,503,63,4749,624,217,17,653,688,76,802,338,5641,215,764,143,416,1136,3638,100,1625,367,353
0610012D04Rik,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0610012G03Rik,1227,408,7456,2759,914,248,2922,1487,416,1627,3286,9640,542,377,730,1299,1767,10236,306,5497,872,946
0610025J13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
