id,gene,class
12550,Cdh1,adherens-junctions
12387,Ctnnb1,adherens-junctions
12385,Ctnna1,adherens-junctions
12386,Ctnna2,adherens-junctions
216033,Ctnna3,adherens-junctions
12388,Ctnnd1,adherens-junctions
12995,Csnk2a1,adherens-junctions
13000,Csnk2a2,adherens-junctions
109711,Actn1,adherens-junctions
60595,Actn4,adherens-junctions
21872,Tjp1,adherens-junctions
22330,Vcl,adherens-junctions
380928,Lmo7,adherens-junctions
99167,Ssx2ip,adherens-junctions
20411,Sorbs1,adherens-junctions
58235,Nectin1,adherens-junctions
227377,Farp2,adherens-junctions
20779,Src,adherens-junctions
93742,Pard3,adherens-junctions
12540,Cdc42,adherens-junctions
19353,Rac1,adherens-junctions
22376,Was,adherens-junctions
73178,Wasl,adherens-junctions
29875,Iqgap1,adherens-junctions
108100,Baiap2,adherens-junctions
242687,Wasf2,adherens-junctions
19274,Ptprm,adherens-junctions
19263,Ptprb,adherens-junctions
19268,Ptprf,adherens-junctions
19246,Ptpn1,adherens-junctions
15170,Ptpn6,adherens-junctions
19271,Ptprj,adherens-junctions
16973,Lrp5,Wnt-signaling
16974,Lrp6,Wnt-signaling
68010,Bambi,Wnt-signaling
13542,Dvl1,Wnt-signaling
13543,Dvl2,Wnt-signaling
13544,Dvl3,Wnt-signaling
27373,Csnk1e,Wnt-signaling
21414,Tcf7,Wnt-signaling
17869,Myc,Wnt-signaling
16476,Jun,Wnt-signaling
14283,Fosl1,Wnt-signaling
12443,Ccnd1,Wnt-signaling
22402,Wisp1,Wnt-signaling
19015,Ppard,Wnt-signaling
17393,Mmp7,Wnt-signaling
12387,CTNNB1,Wnt-signaling
21415,Tcf7l1,Wnt-signaling
21416,Tcf7l2,Wnt-signaling
16842,Lef1,Wnt-signaling
22413,Wnt2,Wnt-signaling
22414,Wnt2b,Wnt-signaling
22415,Wnt3,Wnt-signaling
22416,Wnt3a,Wnt-signaling
22417,Wnt4,Wnt-signaling
22418,Wnt5a,Wnt-signaling
22419,Wnt5b,Wnt-signaling
22420,Wnt6,Wnt-signaling
22421,Wnt7a,Wnt-signaling
22422,Wnt7b,Wnt-signaling
20890,Wnt8a,Wnt-signaling
22423,Wnt8b,Wnt-signaling
216795,Wnt9a,Wnt-signaling
22412,Wnt9b,Wnt-signaling
