p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
7.22191539245777e-36,1.06374367477466,0.968,0.648,1.02002333003074e-31,1,Col17a1
1.10834516795679e-31,1.00712370429656,1,0.977,1.56542671522217e-27,1,Krt5
7.62442839082199e-30,0.99208576046465,1,1,1.0768742659197e-25,1,Krt14
8.85660184605497e-30,-1.90958843971612,0.579,0.898,1.2509064447368e-25,1,Fabp5
3.79586057737557e-28,0.92226509095564,0.889,0.48,5.36127347948525e-24,1,Sema3c
3.58514236331222e-27,0.989578501188559,1,0.893,5.06365507394218e-23,1,Fth1
8.34912935919493e-27,0.948560146222091,0.825,0.443,1.17923103069269e-22,1,Il1r2
5.38299759143966e-26,0.819580876929265,0.929,0.582,7.60294579814938e-22,1,Cdh13
1.961276711659e-25,1.0271890543505,0.881,0.571,2.77010722754717e-21,1,Ly6a
1.04306813816894e-23,1.09215236082496,0.849,0.582,1.47322943834981e-19,1,Smoc2
5.41288383649989e-23,-3.10313372523828,0.794,0.942,7.64515713067244e-19,1,Cst6
1.24640720794416e-22,0.89700482968612,0.992,0.874,1.76042554050033e-18,1,Dst
1.26754207542972e-21,1.12598065193093,0.897,0.682,1.79027642733694e-17,1,Serpinb2
1.76980254256929e-21,0.722151013739345,0.857,0.542,2.49966911112487e-17,1,Lamb3
4.2907641505701e-21,0.897724029609858,0.921,0.731,6.06027528626521e-17,1,Itga6
1.05618667364729e-20,0.959195007846197,0.952,0.876,1.49175805785943e-16,1,Ndufa4l2
1.48560661025513e-20,0.806362773594955,0.825,0.554,2.09827077632435e-16,1,Wnt10a
2.18318925583095e-20,0.851737693416596,0.992,0.977,3.08353650493563e-16,1,Krt15
2.39948553385731e-20,-1.49592019908743,0.079,0.563,3.38903336802006e-16,1,Prr9
1.35770470310657e-19,1.1657578548092,0.897,0.665,1.91762212266771e-15,1,Tgfbi
1.42478108765764e-19,0.587700751936435,0.508,0.154,2.01236080820765e-15,1,Serpinb10
1.81124374055257e-19,-2.50139695335077,0.683,0.885,2.55820065915645e-15,1,Sprr1a
2.70643888143767e-19,0.791911560534761,0.976,0.864,3.82257427614256e-15,1,S100a10
5.2960275131024e-19,0.549164334227499,0.468,0.13,7.48010925950582e-15,1,Igfbp3
9.45577050617468e-19,-1.06626698084956,0.675,0.887,1.33553302629211e-14,1,Fam84a
9.45912792903763e-19,-2.3533721014277,0.151,0.618,1.33600722869727e-14,1,S100a3
1.17302630052969e-18,0.775208185751976,0.913,0.676,1.65678234686813e-14,1,Fcgbp
2.0270722917296e-18,-1.07500856822233,0.508,0.778,2.86303690483888e-14,1,Sbsn
2.12111829040748e-18,-1.44061205878481,0.468,0.778,2.99586747337152e-14,1,Psapl1
2.37209447696406e-18,0.371898513873648,0.548,0.194,3.35034623926404e-14,1,Thy1
4.40484989668311e-18,-1.0050490290245,0.111,0.578,6.22140999407523e-14,1,Krt27
5.9463190880534e-18,0.726933092156763,0.952,0.793,8.39858107996662e-14,1,Ptrf
8.86119186309748e-18,-0.627183761626385,0.167,0.58,1.25155473874389e-13,1,Acot1
2.15135121721647e-17,-0.844316163948742,0.254,0.642,3.03856845919654e-13,1,Rbp1
2.61873703097916e-17,-1.19284050430319,0.19,0.62,3.69870418255496e-13,1,Krt28
2.73700366032116e-17,0.394830714283073,0.548,0.196,3.86574396983761e-13,1,Bmp3
3.10717427521449e-17,-2.24201078300033,0.794,0.919,4.38857294631295e-13,1,Krt79
4.12348847757466e-17,-2.42320680713062,0.651,0.887,5.82401512572645e-13,1,Ly6g6c
1.24538083454509e-16,0.752191140530845,0.667,0.362,1.75897589071149e-12,1,Il33
1.42469381977075e-16,-1.01939980137614,0.81,0.947,2.0122375510442e-12,1,Ctsd
1.43441994674306e-16,-0.313102836938236,0.103,0.533,2.0259747327799e-12,1,Acot7
2.02946915701088e-16,-2.04668747310558,0.587,0.857,2.86642223736217e-12,1,Klk7
4.023363414189e-16,0.659242239949699,0.96,0.9,5.68259848620055e-12,1,Capg
6.7401005453978e-16,0.403568277020433,0.548,0.2,9.51971801031985e-12,1,Itga3
9.69720063082868e-16,0.641382654817465,0.873,0.627,1.36963261709824e-11,1,Htra1
1.46063484254605e-15,0.328550141140997,0.413,0.122,2.06300065161204e-11,1,Antxr1
2.00209858477621e-15,-0.776646033271112,0.389,0.721,2.82776404113792e-11,1,Rhov
2.18972639764001e-15,0.787768720608526,0.802,0.557,3.09276956402675e-11,1,Cyr61
3.3159671357126e-15,-0.46212523517786,0.119,0.512,4.68347198248048e-11,1,Pinlyp
3.47098829651629e-15,-1.65726142028169,0.349,0.68,4.90242386999961e-11,1,Alox12e
4.11640317071453e-15,-0.568436800623601,0.254,0.629,5.81400783831721e-11,1,Ndrg2
4.47449121245774e-15,-1.23572528058192,0.603,0.874,6.31977138847531e-11,1,Sox9
4.53120198047111e-15,-0.425722673599995,0.175,0.574,6.39986967721739e-11,1,Endod1
5.44599672366142e-15,0.711621100052573,1,0.981,7.69192577249939e-11,1,Ccl27a
9.29484187811802e-15,0.742202331925397,0.754,0.493,1.31280346686539e-10,1,Bnip3
9.35506609858215e-15,0.543752115150891,0.825,0.544,1.32130953576374e-10,1,Cav1
9.60427230873078e-15,0.527607030132221,1,0.972,1.35650742088514e-10,1,Anxa2
1.06394955219146e-14,1.02541118255189,0.968,0.947,1.50272234751521e-10,1,Dusp1
1.4235804900689e-14,-0.593110830527977,0.048,0.424,2.01066508417331e-10,1,Hoxc13
1.57091489553545e-14,-0.608614461828192,0.968,0.987,2.21876019845427e-10,1,Calm1
