"W1-H","W1-L","W1-M","N1-H","N1-L","N1-M","W2-H","W2-L","W2-M","W3-H","W3-L","W3-M","W4-H","W4-L","W5-H","W5-L"
"0610007P14Rik",0,0,0,0,0,0,0,0,0,2,3,1,20,0,0,0
"0610009B22Rik",0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
"0610009L18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009O20Rik",0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0
"0610010F05Rik",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"0610010K14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610011F06Rik",0,0,0,0,0,0,1,0,0,9,4,6,3,1,0,0
"0610012G03Rik",3,3,5,0,7,0,29,1,4,17,15,45,10,2,0,3
"0610030E20Rik",1,1,1,0,0,0,1,0,0,3,4,3,2,0,0,0
"0610033M10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610037L13Rik",2,1,3,0,0,0,1,0,0,5,2,4,8,2,0,0
"0610038B21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040B10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610043K17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1010001B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1010001N08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110001J03Rik",0,0,0,0,0,0,0,0,0,1,2,4,10,0,0,0
"1110002L01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110003F10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110004E09Rik",1,1,2,0,0,0,0,0,0,1,1,4,30,0,0,0
"1110004F10Rik",24,16,105,17,13,5,38,38,26,119,313,219,152,38,0,42
"1110006O24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110008F13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110008L16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110008P14Rik",1,1,2,0,0,0,0,0,0,13,39,10,16,3,1,9
"1110012L19Rik",1,1,5,1,0,0,0,1,0,1,1,1,2,0,0,0
"1110019D14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110020A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",0,1,0,0,0,0,0,0,0,2,3,1,1,0,0,0
"1110034G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110035H17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110037F02Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1110038B12Rik",0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0
"1110038F14Rik",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"1110046J04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110051M20Rik",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1110059E24Rik",0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0
"1110059G10Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1110065P20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190002N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
