"P1","P2","P3","P4","P5","P6","P7","P8","P9"
"Krt14",1.20301554338644,0.082603542639179,1.14581667043777,0.0964486869065669,0.432978528365714,-1.58943814460945,0.0672662728852078,0.138123764895927,-1.57681486490735
"Krt5",1.06973835425929,-0.432826495688718,0.875143388383635,-0.649735731189168,-0.420461168306972,-2.09047253214323,0.609669492529308,0.4145302693375,0.624414422818346
"Col17a1",0.652320421826889,-0.169117140364836,0.45758384088696,-0.390553168213291,-0.366592250018556,-2.30821865008387,0.996201997014136,0.77943856683661,0.348936382115959
"Eef1a1",1.42437212002395,0.256788433979115,0.852210721347112,0.500167680867076,-0.80730203284132,-1.97023198890347,-0.346739011497825,-0.322666927664747,0.413401004690092
"Fosb",-0.764230621214454,-1.06416254625341,0.346256033202613,-0.637270816956415,0.0425177701328436,-0.227321513683057,0.262742119577156,2.35324877103115,-0.311779195836397
"Apoe",-0.0269890551831759,0.385926959506746,0.00430987143603522,0.80801749505345,-0.0789916131105203,-2.37269040826724,0.96589629109556,0.695360811518455,-0.380840352049306
"Fos",-0.303419732567813,-0.992910715491137,-0.0863983629495874,-0.718667723357008,-1.03714486223345,-0.404503573348006,1.00291498507613,1.95082029348603,0.58930969138486
"Krt15",-0.287897635065622,-0.536921051006406,-0.496184662413498,-0.932755365083232,-1.19752802862278,-0.201414484600919,1.02579434192654,0.796063913328842,1.83084297153708
"Egr1",0.215345627308471,0.174575067661456,-0.336144057676019,-0.473472027916287,-0.744014842397083,-1.82955915461044,0.804243425105954,1.66126319642115,0.527762766102774
"Jun",0.103097647752101,-0.475530985495414,1.00167671228899,0.404784558557492,-0.630353253598752,-2.05888133674661,0.798124862980654,1.11969894743904,-0.262617153177524
"Nr4a1",0.737368451815768,0.0792161008135073,0.693159946229322,0.0766380721652956,0.20082720463155,-1.71560546153949,0.463736102720809,1.07800600649672,-1.61334642333348
"Fcgbp",1.42043057294747,-0.0959336582836085,1.27355760324149,-0.113003421670881,0.402678630092324,-1.0589208184144,0.11059639765554,-0.207431845606656,-1.73197345996129
"Atf3",0.247738536580166,-0.974748301032457,0.928427205042981,-0.472330480292049,-0.499213916770662,-1.58961410806046,-0.108872538696203,1.41930797931767,1.04930562391102
"Eef2",1.58390898492241,0.168441495400301,1.21592036467015,0.741496152441677,-0.286320745201806,-1.33887694581868,-0.962585413353282,-0.605798539136139,-0.516185353924624
"Sfn",1.27404068158916,0.550965030845032,1.2659979123387,0.146774789393086,-0.570283662202289,-0.767203023121444,-1.87058635626187,-0.148280323456873,0.118574950876494
"Thbs1",1.17949776643743,-0.109319733026997,1.14081873737187,0.200001100329722,0.571175882511965,-1.63285809268588,0.0998532134117131,0.0509421794651174,-1.50011105381494
"Hspa1b",-0.0182873219010512,-0.408823494204167,-0.853587608177805,-0.127711086270553,-1.66648015035189,0.229985022526318,1.51501308445302,1.39910767235266,-0.0692161184265559
"Zfp36",0.244712769765771,-0.887451883569032,1.09125120804742,0.0303651010884785,1.48216601942822,-0.930325725579426,-0.760824967247143,0.933509609419435,-1.20340213135371
