GeneID,Symbol
14910,Gt(ROSA)26Sor
22059,Trp53
11816,Apoe
21926,Tnf
21898,Tlr4
15978,Ifng
16846,Lep
16153,Il10
21803,Tgfb1
16193,Il6
16847,Lepr
12387,Ctnnb1
11651,Akt1
17874,Myd88
14102,Fas
13405,Dmd
24088,Tlr2
18126,Nos2
20423,Shh
20848,Stat3
11789,Apc
18033,Nfkb1
16590,Kit
19211,Pten
19016,Pparg
22339,Vegfa
16835,Ldlr
19122,Prnp
12064,Bdnf
18024,Nfe2l2
19373,Rag1
16189,Il4
12367,Casp3
18613,Pecam1
12578,Cdkn2a
18127,Nos3
20371,Foxp3
13982,Esr1
15251,Hif1a
11820,App
16653,Kras
18128,Notch1
16171,Il17a
26416,Mapk14
19225,Ptgs2
19090,Prkdc
18508,Pax6
16000,Igf1
21937,Tnfrsf1a
17869,Myc
17395,Mmp9
56717,Mtor
19374,Rag2
17105,Lyz2
14609,Gja1
19013,Ppara
12550,Cdh1
16176,Il1b
19164,Psen1
93759,Sirt1
26413,Mapk1
20296,Ccl2
12159,Bmp4
17345,Mki67
13649,Egfr
12010,B2m
15975,Ifnar1
12575,Cdkn1a
216799,Nlrp3
18125,Nos1
12801,Cnr1
20682,Sox9
11622,Ahr
15368,Hmox1
20750,Spp1
20655,Sod1
56637,Gsk3b
26417,Mapk3
22152,Tubb3
19206,Ptch1
20674,Sox2
14103,Fasl
19645,Rb1
12389,Cav1
12576,Cdkn1b
16183,Il2
81897,Tlr9
193034,Trpv1
12028,Bax
11835,Ar
14580,Gfap
14265,Fmr1
16542,Kdr
15194,Htt
14961,H2-Ab1
16392,Isl1
12638,Cftr
12043,Bcl2
13058,Cybb
20846,Stat1
16412,Itgb1
19697,Rela
19699,Reln
13051,Cx3cr1
11475,Acta2
12772,Ccr2
12393,Runx2
14179,Fgf8
17257,Mecp2
26419,Mapk8
11450,Adipoq
16334,Ins2
19017,Ppargc1a
73266,Speer6-ps1
19353,Rac1
18999,Pou5f1
15218,Foxn1
16019,Ighm
12156,Bmp2
12842,Col1a1
17762,Mapt
21577,Tcrb
21473,Tcra
21943,Tnfsf11
18587,Pde6b
12504,Cd4
11545,Parp1
18053,Ngfr
17127,Smad3
21823,Th
12307,Calb1
16476,Jun
19293,Pvalb
12362,Casp1
12443,Ccnd1
11920,Atm
12912,Creb1
18008,Nes
15894,Icam1
12505,Cd44
16160,Il12b
14815,Nr3c1
14281,Fos
16173,Il18
20315,Cxcl12
14173,Fgf2
18505,Pax3
21939,Cd40
11607,Agtr1a
15289,Hmgb1
17196,Mbp
20852,Stat6
13983,Esr2
12266,C3
20528,Slc2a4
12977,Csf1
16177,Il1r1
17927,Myod1
16186,Il2rg
56458,Foxo1
21938,Tnfrsf1b
50518,a
18439,P2rx7
22173,Tyr
20997,T
110066,Tcrd
17967,Ncam1
15979,Ifngr1
14083,Ptk2
18212,Ntrk2
18390,Oprm1
12487,Cd28
12981,Csf2
12608,Cebpb
19264,Ptprc
11540,Adora2a
12767,Cxcr4
20617,Snca
22337,Vdr
14415,Gad1
18646,Prf1
16168,Il15
12478,Cd19
17311,Kitl
17390,Mmp2
14810,Grin1
16002,Igf2
13489,Drd2
14632,Gli1
14526,Gcg
16001,Igf1r
12525,Cd8a
14183,Fgfr2
12394,Runx1
18040,Nefm
15376,Foxa2
