gene,id
GRB2,14784
SOS,20662
RASGRP1,19419
RASGRP2,19395
RASGRP3,240168
RASGRP4,233046
RASGRF1,19417
RASGRF2,19418
HRAS,15461
KRAS,16653
NRAS,18176
RRAS,20130
RRAS2,66922
MRAS,17532
PRKCA,18750
PRKCB,18751
PRKCG,18752
RAPGEF2,76089
PKA,18747
RAP1A,109905
RAP1B,215449
ARAF,11836
BRAF,109880
RAF1,110157
MAP2K1,26395
MAP2K2,26396
AMTOR3,56692
ERK,26413
RPS6KA,110651
MKNK,17346
ATF4,11911
ELK1,13712
ELK4,13714
MYC,17869
SRF,20807
FOS,14281
STMN1,16765
PLA2G4,18783
MAPT,17762
