gene,id
EGFR,13649
ERBB2,13866
ERBB3,13867
ERBB4,13869
FGFR1,14182
FGFR2,14183
FGFR3,14184
FGFR4,14186
NGFR,18053
NTRK1,18211
NTRK2,18212
INSR,16337
IGF1R,16001
PDGFRA,18595
PDGFRB,18596
CSF1R,12978
KIT,16590
FLT3,14255
FLT1,14254
FLT4,14257
KDR,16542
MET,17295
TEK,21687
EPHA2,13836
GNB1,14688
GNB2,14693
GNB3,14695
GNB4,14696
GNB5,14697
GNG2,14702
GNG3,14704
GNG4,14706
GNG5,14707
GNG7,14708
GNG8,14709
GNG10,14700
GNG11,66066
GNG12,14701
GNG13,64337
GNGT1,14699
GNGT2,14710
GAB1,14388
GAB2,14389
SHC1,20416
SHC2,216148
SHC3,20418
SHC4,271849
PTPN11,19247
PLCG1,18803
PLCG2,234779
EGF,13645
TGFA,21802
FGF1,14164
FGF2 ,14173
FGF ,14174
FGF19,14170
FGF21 ,56636
FGF23 ,64654
NGFA,18048
NGFB ,18049
BDNF,12064
NTF3,18205
NTF4,78405
INS,16334
IGF1,16000
IGF2,16002
PDGFA,18590
PDGFB,18591
PDGFC_D ,54635
CSF1 ,12977
KITLG,17311
FLT3LG,14256
VEGFA,22339
VEGFB ,22340
PGF,18654
VEGFC_D,22341
HGF,15234
ANGPT1,11600
ANGPT2 ,11601
ANGPT4 ,11602
EFNA,13636
