gene,id
ATP2A,11937
STIM1,20866
STIM2,116873
ORAI1,109305
ORAI2,269717
ORAI3,269999
CACNA1C,12288
CACNA1D,12289
CACNA1F,54652
CACNA1S,12292
CACNA1A,12286
CACNA1B,12287
CACNA1E,12290
CACNA1G,12291
CACNA1H,58226
CACNA1I,239556
CHRNA7,11441
P2RX1,18436
P2RX2,231602
P2RX3,228139
P2RX4,18438
P2RX5,94045
P2RX7,18439
P2RX6,18440
GRIN1,14810
GRIN2A,14811
GRIN2C,14813
GRIN2D,14814
RYR1,20190
RYR2,20191
RYR3,20192
EGFR,13649
ERBB2,13866
ERBB3,13867
ERBB4,13869
PDGFRA,18595
PDGFRB,18596
GNAQ,14682
GNA11,14672
GNA14,14675
GNA15,14676
PLCD,18799
PLCB,18795
PLCG1,18803
PLCG2,234779
PLCE,74055
PLCZ,114875
ITPR1,16438
ITPR2,16439
ITPR3,16440
CALM,12313
CAMK2,108058
CAMK4,12326
PPP3C,19057
PPP3R,19058
PTK2B,19229
WNT5,22418
NFATC1,18018
