gene,id
COL1A,12842
COL2A,12824
COL4A,12826
COL6A,12834
COL9A,12839
LAMA1_2,16772
LAMA3_5,16774
LAMA4,16775
LAMB1,16777
LAMB2,16779
LAMB3,16780
LAMC1,226519
LAMC2,16782
LAMC3,23928
CHAD,12643
RELN,19699
THBS1,21825
THBS2S,12845
FN1,14268
SPP1,20750
VTN,22370
TN,21923
VWF,22371
IBSP,15891
ITGA1,109700
ITGA2,16398
ITGA2B,16399
ITGA3,16400
ITGA4,16401
ITGA5,16402
ITGA6,16403
ITGA7,16404
ITGA8,241226
ITGA9,104099
ITGA10,213119
ITGA11,319480
ITGAV,16410
ITGB1,16412
ITGB3,16416
ITGB4,192897
ITGB5,16419
ITGB6,16420
ITGB7,16421
ITGB8,320910
RHOA,11848
ROCK1,19877
ROCK2,19878
MYL2,17906
MYL5,
MYL7,17898
MYL9,98932
MYL10,59310
MYL12,67938
MYLPF,17907
MYLK,107589
ACTB_G1,11461
RASGRF1,19417
CAPN2,12334
ACTN1_4,60595
TLN,21894
FLNA,192176
PXN,19303
ILK,16202
ZYX,22793
VASP,22323
VCL,22330
PARV,170736
VAV,22324
RAC1,19353
RAC2,19354
RAC3,170758
PAK1,18479
PAK2,224105
PAK3,18481
PAK4,70584
PAK5,241656
PAK6,214230
JNK,26419
JUN,16476
CAV1,12389
CAV2,12390
CAV3,12391
FYN,14360
PTK2,14083
WNT11,22411
FZD2,57265
NKD,72293
