p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
7.22191539245777e-36,1.06374367477466,0.968,0.648,1.02002333003074e-31,1,Col17a1
1.10834516795679e-31,1.00712370429656,1,0.977,1.56542671522217e-27,1,Krt5
7.62442839082199e-30,0.99208576046465,1,1,1.0768742659197e-25,1,Krt14
3.79586057737557e-28,0.92226509095564,0.889,0.48,5.36127347948525e-24,1,Sema3c
3.58514236331222e-27,0.989578501188559,1,0.893,5.06365507394218e-23,1,Fth1
8.34912935919493e-27,0.948560146222091,0.825,0.443,1.17923103069269e-22,1,Il1r2
1.961276711659e-25,1.0271890543505,0.881,0.571,2.77010722754717e-21,1,Ly6a
1.04306813816894e-23,1.09215236082496,0.849,0.582,1.47322943834981e-19,1,Smoc2
1.24640720794416e-22,0.89700482968612,0.992,0.874,1.76042554050033e-18,1,Dst
1.26754207542972e-21,1.12598065193093,0.897,0.682,1.79027642733694e-17,1,Serpinb2
4.2907641505701e-21,0.897724029609858,0.921,0.731,6.06027528626521e-17,1,Itga6
1.05618667364729e-20,0.959195007846197,0.952,0.876,1.49175805785943e-16,1,Ndufa4l2
2.18318925583095e-20,0.851737693416596,0.992,0.977,3.08353650493563e-16,1,Krt15
1.35770470310657e-19,1.1657578548092,0.897,0.665,1.91762212266771e-15,1,Tgfbi
1.06394955219146e-14,1.02541118255189,0.968,0.947,1.50272234751521e-10,1,Dusp1
7.39979480668689e-13,0.898788592611658,0.524,0.23,1.04514701849646e-08,1,Guca2a
2.57611317884058e-11,1.06657189281038,0.73,0.499,3.63850225379443e-07,1,Fam81a
5.57797668185296e-11,0.867423498821485,0.968,0.942,7.87833426544912e-07,1,Atf3
0.00102358651530213,0.828316390432084,0.484,0.358,1,1,Stfa3
0.00215009179539334,0.957315475800241,0.087,0.217,1,1,S100a8
1.49322228428483e-24,1.19409141173624,0.968,0.811,2.10902715432389e-20,2,Ifitm3
5.52272710653542e-18,0.750784611149895,1,0.976,7.80029976527063e-14,2,Krt15
7.94617144432725e-15,0.851275199034929,0.925,0.942,1.12231725479678e-10,2,Ifitm2
3.14017230692055e-11,0.724027253069177,0.892,0.815,4.43517936629458e-07,2,Ptrf
1.21989967433953e-09,1.11213545086335,0.656,0.468,1.72298630003715e-05,2,Aldh3a1
1.7867088006691e-08,0.965902117434219,0.785,0.737,0.000252354751006504,2,Gstm2
3.3036986887239e-08,0.824880646798758,0.849,0.703,0.000466614402795363,2,Fcgbp
1.33254630933568e-07,0.882367439304675,0.677,0.564,0.00188208840730572,2,Lgals9
3.30787983624145e-06,0.786617964602476,0.753,0.723,0.0467204948070743,2,Ptn
5.90466137266651e-06,0.681038548553909,0.731,0.58,0.0833974372275418,2,Cav1
8.03734898522588e-06,0.687800281934339,0.656,0.635,0.11351951706733,2,Moxd1
9.06466198468373e-06,1.12790835073195,0.849,0.914,0.128029285871673,2,Sostdc1
1.1021451305738e-05,0.943087904660305,0.677,0.604,0.155666978242244,2,Adh7
3.59103764433048e-05,0.931235117462701,0.763,0.811,0.507198156885237,2,Gstm1
9.79627122528654e-05,0.778197218755883,0.774,0.871,1,2,Ly6e
0.00174914475963197,0.879851103092393,0.613,0.641,1,2,Acsl4
0.00237667363344552,0.64202721830382,0.742,0.733,1,2,Serpinb6a
0.00512007818817615,0.740762568691529,0.237,0.428,1,2,Acsl3
0.00541857625623737,0.911257099358211,0.613,0.558,1,2,Cpne8
0.0066095994997698,0.969090340914439,0.495,0.727,1,2,Zc3h13
8.91548635071168e-40,2.33530347211185,1,0.847,1.25922329217452e-35,3,Krt77
1.91560742972911e-37,2.1659259110405,1,0.943,2.7056039337494e-33,3,Krtdap
1.13728046674877e-35,2.08287161359433,0.988,0.892,1.60629493123596e-31,3,Calm4
4.16372525795158e-34,1.46653714341372,0.919,0.528,5.88084555433082e-30,3,Elovl4
2.46551682466058e-31,1.55757619003572,0.988,0.811,3.4822959631506e-27,3,Ly6g6c
9.32518304760861e-29,1.23972892839831,1,0.774,1.31708885364424e-24,3,Dsg1a
5.83357036600121e-27,2.21436716300173,0.988,0.876,8.2393347849401e-23,3,Krt10
2.65841821209036e-23,1.26587786191467,1,0.898,3.75474988275643e-19,3,Lypd3
1.04923092834718e-22,1.71546159699918,0.965,0.69,1.48193376319755e-18,3,Krt1
1.26005727901123e-19,1.77411420220656,0.895,0.525,1.77970490087545e-15,3,Casp14
5.81114158864085e-19,1.45156310790328,0.779,0.411,8.20765637979633e-15,3,Hpgds
7.45845036315535e-18,1.63501490445529,0.826,0.436,1.05343152929206e-13,3,Asprv1
5.55280572038406e-17,1.49676477280778,0.953,0.823,7.84278279947045e-13,3,Sprr1a
2.60527069733984e-14,1.45452020854505,0.965,0.772,3.6796843329228e-10,3,Klk7
3.63783068007197e-13,3.41102508679738,0.64,0.244,5.13807205253365e-09,3,Flg
4.22188583122753e-11,1.34406434826039,0.698,0.385,5.96299154802577e-07,3,2310046K23Rik
3.785512442681e-09,1.49065800929636,0.872,0.631,5.34665777404265e-05,3,Defb6
3.93529982621951e-09,1.3777881621216,0.547,0.265,5.55821747455243e-05,3,Sprr1b
3.01714382262817e-08,1.38956946358801,0.86,0.656,0.000426141393508003,3,Krt16
1.25981097221232e-06,1.37468086661247,0.279,0.094,0.0177935701715268,3,Cnfn
3.65828073363122e-20,0.769358235879798,1,0.99,5.16695570818074e-16,4,Ly6d
3.28049432814381e-18,0.820331329646541,1,0.89,4.63337018907031e-14,4,Calm4
7.61526051181942e-16,0.871523581202147,0.929,0.622,1.07557939468937e-11,4,Susd2
